S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
29,Aurangabad Region,Aurangabad,590062,73099,46495,43170,26086,452,0,1938,24861,5618,1014,854,1662,451,0,11203,4123,20177,24984,20644,13290,256
30,Aurangabad Region,Jalna,162285,7974,12159,8428,5283,128,0,719,5612,242,8,120,5,109,0,2740,230,2236,5566,11425,6516,331
31,Aurangabad Region,Beed,110260,9054,17529,4720,11513,1,0,71,7848,440,172,16,16,7,0,3611,152,4451,8110,7415,5183,27
32,Latur Region,Latur,161019,24641,35478,19309,10608,394,90,1058,10665,500,231,300,36,76,0,7055,171,6192,6448,10945,6561,323
33,Latur Region,Osmanabad,103124,7241,4917,8157,4981,54,3,1093,4522,284,19,100,6,61,0,4541,173,4964,2785,10543,5127,351
34,Latur Region,Ambejogai,54624,2954,2946,4701,3211,0,54,311,3182,0,13,94,2,21,124,2406,183,2041,3000,3575,1864,111
35,Nanded Region,Nanded,237865,16906,29253,17124,9655,58,1974,0,24000,424,410,264,57,164,2,13447,327,7606,8495,6225,4455,220
36,Nanded Region,Parbhani,137356,4679,11526,10182,8300,18,316,179,14728,0,100,35,8,133,19,4730,207,3358,5994,7147,3201,317
37,Nanded Region,Hingoli,67925,3343,6551,5123,3776,0,150,1139,3549,96,131,13,12,50,0,1573,64,2436,932,5828,3183,34
38,Amrawati Region,Amrawati,272921,58579,77009,28903,5898,363,38,1413,15692,533,354,146,139,270,0,7986,237,6574,3520,12797,7275,325
39,Amrawati Region,Buldhana,176259,13920,25449,8541,5268,186,151,1650,13525,442,98,177,54,155,0,2862,57,4100,4496,16869,9372,161
40,Amrawati Region,Yawatmal,158877,44619,41995,13809,5495,41,20,1365,12291,395,328,168,103,84,330,4560,115,5015,2770,8425,5723,31
41,Amrawati Region,Akola,150584,55869,31904,15971,4212,8,48,1943,12322,461,191,118,36,162,6,4570,143,4789,2415,9332,6126,370
42,Amrawati Region,Washim,83722,14171,15752,4415,3099,2,2,511,7337,1,42,51,2,64,0,1264,32,2306,1198,8789,5578,35
43,Nagpur(U) Region,Nagpur,448994,327913,282745,107961,31252,842,9,3089,15764,1741,935,876,1317,613,930,12489,2555,14995,7086,5446,5401,1247
44,Nagpur(U) Region,Wardha,100332,17197,43446,7753,3230,57,0,317,4758,236,100,135,44,61,51,1551,37,3017,2517,6398,2984,410
45,Nagpur(U) Region,Nagpur(East),64287,16640,682,9760,2673,0,31,398,1953,0,85,463,13,57,88,2542,45,2873,1245,12,4,0
46,Nagpur(R) Region,Nagpur,169797,40819,27806,14026,8148,33,0,935,4828,2385,302,699,266,147,697,8016,107,7391,1558,8991,2818,963
47,Nagpur(R) Region,Gadchiroli,55285,11688,1952,2718,1469,1,0,327,548,4,45,34,37,155,4,389,23,1236,133,4576,2845,53
48,Nagpur(R) Region,Chandrapur,192852,53276,55753,21604,7171,58,136,835,6944,358,215,277,100,361,873,8883,198,5885,2058,9858,6068,684
49,Nagpur(R) Region,Gondia,117933,17883,16421,6956,3097,0,0,307,796,5,140,164,59,87,4,1614,92,2306,307,5707,4039,157
50,Nagpur(R) Region,Bhandara,93531,22444,20453,6556,2501,10,0,227,1219,251,49,114,62,88,205,1068,62,1442,469,7957,4668,64
