S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai(C),241492,139210,7360,248534,8424,2173,29194,5471,0,4484,1374,3,399,568,11,1960,137,11084,5372,129,81,346
2,Greater Mumbai,Mumbai(W),400152,208526,14861,345032,16389,835,8298,5035,64135,0,2145,1990,333,621,0,4890,140,6787,21463,41,0,0
3,Greater Mumbai,Mumbai€,222417,84369,11074,129930,5069,840,6554,3246,45035,0,730,525,325,266,0,700,108,3728,7507,31,11,862
4,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Thane Region,Thane,651208,224124,13358,365001,38643,5459,3222,27814,85765,1050,10051,360,1725,1557,10560,74025,12639,62039,58164,1550,8733,3070
6,Thane Region,Kalyan,353749,73704,7154,76080,4099,129,229,3189,35831,1957,743,224,202,387,14,9226,1050,7734,11937,790,385,587
7,Thane Region,Vashi Navi Mumbai,128814,11253,5,89360,4073,570,85,7665,12091,69,3147,656,285,266,3976,12623,4483,4027,14660,33,3402,188
8,Thane Region,Vasai,70633,18437,510,21445,130,59,0,444,3907,764,248,115,64,118,333,1993,623,5725,1419,37,18,300
9,Panvel Region,Panvel,91219,1542,0,49849,434,0,0,2043,11166,7,310,622,184,197,16565,15872,2182,4152,2696,279,77,1171
10,Panvel Region,Pen-Raigad,164197,29243,1389,39603,11537,191,152,6187,9306,1006,245,283,239,269,819,7088,860,8478,3527,1280,2289,2437
11,Panvel Region,Ratnagiri,117013,49358,5607,24522,7617,508,22,531,16715,1,457,111,82,295,88,7367,177,9059,5314,621,580,1304
12,Panvel Region,Sindhudurg,71985,25643,4821,11305,2482,725,270,73,8688,1911,83,32,51,105,2,4119,36,4474,1631,509,480,91
13,Kolhapur Region,Kolhapur,623933,85825,49470,76985,20531,56,399,731,14372,914,1048,298,183,304,827,16803,906,14965,11294,30320,24940,2035
14,Kolhapur Region,Sangli,369475,59298,51774,48002,18500,352,1261,194,7954,870,64,324,45,179,108,8769,594,12852,6958,23317,17001,907
15,Kolhapur Region,Satara,351610,43850,44174,40172,15658,78,901,2736,7060,697,149,235,51,183,0,7143,233,11262,6159,21484,16784,1014
16,Kolhapur Region,Karad,59024,4448,4387,7669,1424,0,390,1137,1617,0,54,142,12,141,0,3282,80,3891,1064,5283,5097,238
17,Pune Region,Pune,1435067,363973,194947,423482,42067,876,267,13726,45004,2541,4143,10203,1261,1088,1142,24555,2976,31314,28192,19933,11639,6220
18,Pune Region,Solapur,365390,58592,68944,26897,14868,188,0,1374,8336,232,56,146,106,225,22,8969,806,10321,9022,19046,13389,527
19,Pune Region,Pimpri-Chinchwad,712816,111551,37547,164280,14541,60,0,14666,5388,2635,4746,302,489,950,3,15346,1646,25803,22449,14126,4099,2340
20,Pune Region,Baramati,180466,5538,568,20230,4652,8,0,467,1457,0,164,192,92,84,3,5567,503,8629,5070,14169,15033,676
21,Pune Region,Akluj,124436,4,8,14734,2846,13,0,263,369,38,48,56,9,66,43,2485,109,4696,2597,9384,6562,844
22,Nashik Region,Nashik,653272,152775,50555,111809,26532,94,2102,2496,19693,939,1129,570,203,532,36,11490,782,26143,8972,52846,25930,5343
23,Nashik Region,Ahmednagar,305200,51951,40338,27342,11036,254,873,1179,5380,762,108,167,77,216,88,7135,517,10821,6884,20139,12700,2276
24,Nashik Region,Srirampur,374220,20955,28615,29279,12204,792,1598,1495,5411,0,131,380,72,156,227,5891,610,9356,9704,24927,17894,1176
25,Nashik Region,Malegaon,191800,9332,7129,14191,2981,2,1082,292,8389,2,48,131,9,90,0,4616,109,6223,2949,19389,16216,161
26,Dhule Region,Dhule,170460,25483,28720,18505,4823,169,149,2748,11944,673,283,129,94,145,413,9678,674,4462,5982,15971,13723,336
27,Dhule Region,Jalgaon,375382,66322,60624,29970,10045,542,523,2721,26195,762,338,206,83,223,0,7436,309,6392,11771,27090,20461,495
28,Dhule Region,Nandurbar,69867,9103,3726,10752,3264,1522,42,404,825,50,28,30,21,65,0,687,78,1079,3399,7927,4577,281
