S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai(C),231940,126409,7340,240086,8417,2173,29426,5112,0,4526,1374,26,489,572,11,2078,118,10881,5010,129,84,313
2,Greater Mumbai,Mumbai(W),369822,194597,14838,315629,16046,829,8285,4699,64422,0,2002,1707,322,584,0,4725,153,6550,21570,41,0,0
3,Greater Mumbai,Mumbai€,204516,74825,10995,116508,5027,837,6722,2851,47169,0,694,435,327,255,0,739,110,3830,7320,31,11,861
4,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Thane Region,Thane,619757,217306,13618,361622,37376,5487,3223,26074,87870,1800,9368,312,1686,1576,9053,70968,10433,61594,58918,1536,7976,2696
6,Thane Region,Kalyan,307996,73704,7154,66050,4097,129,206,3012,34137,637,609,127,200,363,12,9031,1018,7426,10622,742,370,560
7,Thane Region,Vashi Navi Mumbai,111728,11253,5,81165,4073,570,85,7384,12099,167,3161,658,358,270,4696,11786,4393,4147,13766,31,3282,178
8,Thane Region,Vasai,26716,6902,103,4411,1,20,0,89,11,5,133,40,5,41,301,242,1080,1829,249,11,6,119
9,Panvel Region,Panvel,65722,1542,0,35494,434,0,0,1726,11789,27,458,442,244,178,15878,15232,2027,3418,2124,228,54,987
10,Panvel Region,Pen-Raigad,234000,48738,2315,67861,17753,319,152,10565,9326,939,217,156,214,479,844,7007,855,12349,6563,1750,3727,3673
11,Panvel Region,Ratnagiri,108449,44054,5607,22334,7070,508,153,518,16500,0,393,94,76,255,85,6795,150,8231,4917,592,593,1228
12,Panvel Region,Sindhudurg,65063,21159,4821,10094,2266,725,241,92,8419,1861,69,25,50,99,2,3978,35,3822,1602,503,478,76
13,Kolhapur Region,Kolhapur,563547,78935,48396,69132,20172,56,399,638,13947,945,970,240,131,290,771,15890,897,13729,10617,25747,23057,1667
14,Kolhapur Region,Sangli,335566,52718,50878,42576,16686,352,1272,130,7920,870,45,178,38,170,73,8486,562,11290,6733,20649,16143,771
15,Kolhapur Region,Satara,324846,38954,40439,36584,14779,80,890,2617,7058,701,128,169,50,168,0,6636,224,9677,5896,19472,15996,942
16,Kolhapur Region,Karad,33305,3392,4383,5089,834,0,373,1040,1593,0,48,77,12,136,0,3250,80,3349,938,4617,4670,225
17,Pune Region,Pune,1350608,305575,194565,377564,41699,987,0,12759,42644,2537,2975,10201,1170,1035,914,21572,2817,30383,26028,18475,11491,5812
18,Pune Region,Solapur,329446,51777,66856,23380,14362,188,0,1271,8569,232,40,75,102,218,22,8561,783,9526,8236,17413,13193,481
19,Pune Region,Pimpri-Chinchwad,647691,93528,37549,143857,14439,59,0,13177,7042,2040,4098,256,482,578,0,15413,934,23798,21804,12739,4312,2188
20,Pune Region,Baramati,156885,5086,568,17075,4133,8,0,462,1413,0,146,50,96,77,3,5295,473,7544,4727,12914,14501,573
21,Pune Region,Akluj,108966,4,8,10812,2870,13,0,258,1025,38,41,27,9,61,43,1979,105,3420,2208,7366,5421,759
22,Nashik Region,Nashik,596009,135811,50185,97710,26552,93,2101,2406,24045,926,980,331,203,476,36,11032,752,22827,8298,46365,25192,1562
23,Nashik Region,Ahmednagar,279843,44971,39596,24383,9995,254,873,1125,5384,762,94,128,71,163,43,6887,493,9420,6602,17931,12700,2165
