S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
24,Nashik Region,Srirampur,333638,19517,28531,25870,11588,792,1609,1504,5676,0,116,278,67,144,192,5786,551,8105,8992,21985,17436,1052
25,Nashik Region,Malegaon,168247,8752,4915,11906,3017,2,1112,283,8304,2,53,110,9,72,0,4400,105,5542,2544,16118,14785,123
26,Dhule Region,Dhule,150827,23113,27833,16600,4368,168,147,2669,11619,673,262,92,93,137,115,9383,413,4472,5209,14582,13187,268
27,Dhule Region,Jalgaon,342244,60337,55234,27961,9226,541,346,2710,24981,734,311,163,80,215,0,7068,299,6010,10363,24882,19795,473
28,Dhule Region,Nandurbar,59248,5954,3639,10113,2885,1516,40,404,834,50,28,14,21,64,0,655,78,963,2927,6771,4177,188
29,Aurangabad Region,Aurangabad,511649,70536,46299,39324,23393,452,0,1909,24865,5573,829,725,1330,398,0,10173,3594,17345,21030,19222,12510,256
30,Aurangabad Region,Jalna,143712,6517,11718,7811,4911,128,0,720,5324,242,10,85,2,108,0,2430,227,1994,4516,10303,6184,288
31,Aurangabad Region,Beed,99671,8461,17150,4478,10777,1,0,71,7585,440,149,16,16,7,0,3377,101,3815,6898,6963,5055,27
32,Latur Region,Latur,146878,22432,33492,17426,9584,394,67,1058,10316,456,202,184,36,67,0,6865,129,5325,6034,10090,6501,262
33,Latur Region,Osmanabad,92812,5867,4688,7462,4650,54,3,1006,4486,307,18,61,6,49,0,4363,168,4355,2526,9173,4938,324
34,Latur Region,Ambejogai,46281,1742,2299,3866,2832,0,37,282,3177,0,7,41,3,12,92,2106,117,1413,2769,3316,1825,75
35,Nanded Region,Nanded,196989,16843,28530,14804,9350,58,1004,857,23056,425,409,191,57,149,5,11250,325,5743,6254,5530,4145,177
36,Nanded Region,Parbhani,116896,4256,11097,8643,7388,18,319,140,13363,319,56,53,8,131,1034,4347,203,3261,4190,6171,3068,266
37,Nanded Region,Hingoli,63271,3108,6503,4646,3762,0,7,197,4345,96,127,15,13,50,0,1539,62,2107,879,4903,3137,34
38,Amrawati Region,Amrawati,237916,52991,76685,24407,5714,361,38,1342,15800,533,322,104,48,252,0,7478,231,5599,3362,10778,6377,298
39,Amrawati Region,Buldhana,155742,12379,24377,7099,4732,186,151,1620,13129,440,98,139,36,151,0,2730,57,3851,3775,14766,8800,136
40,Amrawati Region,Yawatmal,142212,39007,41091,12571,5086,41,20,1300,11893,395,318,142,84,84,330,4448,115,4355,2526,7486,5347,35
41,Amrawati Region,Akola,132512,48117,31579,14195,4100,8,48,1909,11400,454,184,95,35,150,6,4360,142,4067,2259,7889,5361,329
42,Amrawati Region,Washim,73397,12389,15457,3877,2745,2,2,507,6828,1,33,42,0,66,0,1169,32,1971,1138,7502,4581,26
43,Nagpur(U) Region,Nagpur,448540,325537,283605,104745,30746,842,0,3035,16743,1741,927,643,1314,597,925,13025,2563,14936,7137,5430,5399,1247
44,Nagpur(U) Region,Wardha,96031,17197,41504,6898,3115,61,0,308,4742,240,81,63,44,54,26,1512,33,2577,2275,5643,2895,345
45,Nagpur(U) Region,Nagpur(East),30516,3889,0,3323,67,0,30,214,391,0,2,60,10,19,19,610,3,947,555,12,0,0
46,Nagpur(R) Region,Nagpur,142705,34197,27741,11238,7124,33,1,858,4624,2381,262,310,205,112,609,7146,102,5733,1391,7620,2517,817
47,Nagpur(R) Region,Gadchiroli,47426,9947,1949,2240,1313,1,0,303,548,4,40,23,37,147,4,329,23,962,122,4036,2596,48
48,Nagpur(R) Region,Chandrapur,177889,47810,52070,19901,6877,58,136,817,6925,358,193,236,92,347,845,8616,190,5147,1961,9012,5832,611
49,Nagpur(R) Region,Gondia,103619,16536,15992,6221,2836,0,0,300,796,5,138,127,49,79,4,1396,85,1966,266,5133,3763,129
50,Nagpur(R) Region,Bhandara,83248,17438,20330,5524,2113,10,0,220,1167,251,39,79,64,87,206,1024,60,1102,376,7334,4409,64
