S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
18,Pune Region,Solapur,494320,78342,72657,38515,15608,192,0,1747,9363,292,151,372,119,262,22,10032,950,13301,10166,24601,15005,641
19,Pune Region,Pimpri-Chinchwad,899676,230839,37618,235610,19130,60,0,24366,6280,3704,6600,379,642,1645,9,16554,1493,31054,25881,17177,4109,3885
20,Pune Region,Baramati,236965,6881,730,29880,4660,8,0,646,1584,0,210,326,101,126,223,6650,548,11858,5852,17728,16214,848
21,Pune Region,Akluj,190484,871,200,23924,2969,13,21,320,375,63,80,189,9,68,45,2578,110,6799,3392,13829,7296,900
22,Nashik Region,Nashik,815599,220350,54882,155647,26442,94,2100,3656,22229,950,1548,945,203,639,48,13224,838,30784,12937,69030,28751,5944
23,Nashik Region,Ahmednagar,380889,80995,43416,38736,13397,254,887,1298,6139,764,136,469,85,255,198,8289,543,14903,7604,26318,13400,2475
24,Nashik Region,Srirampur,477071,29257,29692,39521,12670,792,1359,1917,5329,0,233,565,72,184,251,6363,758,12307,11807,32368,19604,1484
25,Nashik Region,Malegaon,264512,9561,11721,21918,2440,2,1112,342,8798,0,61,219,12,100,55,4960,128,7688,3826,25506,18712,335
26,Dhule Region,Dhule,230302,37324,29247,24147,5918,401,154,2922,12779,673,335,195,94,161,1548,10782,799,4932,7702,18410,14634,436
27,Dhule Region,Jalgaon,492486,91067,64272,37544,12181,550,2957,542,30196,0,485,399,91,227,0,8320,339,7035,15304,33112,22522,1458
28,Dhule Region,Nandurbar,105589,20683,4005,14782,4879,1565,45,407,834,0,90,47,23,72,0,708,81,1341,3950,10452,5208,290
29,Aurangabad Region,Aurangabad,795776,89557,47406,63826,29322,452,59,2743,27806,5959,1544,1114,1997,504,0,14086,4727,26403,30393,24852,14901,492
30,Aurangabad Region,Jalna,222008,14703,12677,11050,6516,128,615,143,6483,242,27,243,8,118,5,3125,265,3856,6562,14913,7309,551
31,Aurangabad Region,Beed,146552,18631,18649,8647,16730,1,0,187,8091,440,219,46,36,19,81,4322,184,5490,9584,9395,5710,68
32,Latur Region,Latur,233115,29023,39248,28795,13913,129,383,1149,11997,12,615,522,63,97,35,7829,218,10636,7554,12698,6888,484
33,Latur Region,Osmanabad,137167,13993,4941,11396,5951,54,0,1443,4812,307,23,218,8,64,23,5404,183,6147,3339,13038,5265,450
34,Latur Region,Ambejogai,77217,6305,3789,5717,3447,0,73,340,3185,0,21,123,4,25,212,2606,218,2380,3297,4453,2160,156
35,Nanded Region,Nanded,332609,16927,30109,23271,9334,58,4,2013,25164,445,444,392,57,182,2,15300,361,8780,9710,7774,4802,250
36,Nanded Region,Parbhani,190538,5791,12351,13050,9976,18,313,246,13263,0,150,88,11,144,25,5293,218,3393,7400,9007,3697,398
37,Nanded Region,Hingoli,92577,5514,6704,6114,4013,0,150,1145,3880,96,141,32,24,56,0,1780,70,2925,1045,7280,3644,51
38,Amrawati Region,Amrawati,375773,80049,77503,41247,5752,363,51,1612,16612,561,435,513,139,312,229,8483,259,8307,4510,14930,9146,573
39,Amrawati Region,Buldhana,243454,22868,28439,12756,6629,186,160,1664,14563,442,99,306,54,179,21,3194,61,5888,5152,21400,11645,178
40,Amrawati Region,Yawatmal,230404,48910,51705,18515,6707,41,94,1456,13430,395,436,385,103,124,330,5074,119,6456,3727,10361,6484,51
41,Amrawati Region,Akola,206691,69685,32703,22922,4418,8,48,2002,14040,467,240,216,45,168,6,4953,155,6355,3079,11667,7415,474
42,Amrawati Region,Washim,115596,20466,17409,6213,3881,2,4,519,7891,1,61,79,3,67,4,1437,41,3002,1449,11161,6723,86
43,Nagpur(U) Region,Nagpur,475036,327913,282745,113131,31870,842,47,4134,9001,1779,942,1000,1317,648,936,12188,2589,15485,7440,5493,5406,1269
44,Nagpur(U) Region,Wardha,141608,17197,43446,11721,3590,62,0,361,4870,240,134,367,46,79,176,1695,51,3772,3209,7875,3151,489
45,Nagpur(U) Region,Nagpur(East),161955,16640,682,21647,7095,0,36,1944,7787,0,227,979,19,129,344,3572,394,5448,3766,289,41,29
46,Nagpur(R) Region,Nagpur,259790,72901,29913,25583,12960,33,0,1689,5051,2881,523,1277,323,223,1175,11281,157,10931,2158,11615,3495,1218
47,Nagpur(R) Region,Gadchiroli,80108,19253,1952,4500,2411,1,1,431,570,4,38,75,47,166,4,477,28,1781,143,6501,3566,114
48,Nagpur(R) Region,Chandrapur,251002,84311,57565,26496,7611,61,136,1006,7687,361,255,449,118,380,1303,9391,375,7789,2353,12389,6875,854
49,Nagpur(R) Region,Gondia,154219,30156,19281,9264,4135,0,0,351,845,7,182,287,69,97,4,1843,137,2961,431,7837,5016,226
50,Nagpur(R) Region,Bhandara,125702,37923,20673,10616,2936,10,0,243,1267,252,75,213,52,98,205,1290,72,2230,595,10358,5734,152
