S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai(C),309964,202808,7666,311148,9976,2175,37704,18262,0,4456,1757,171,411,663,11,2061,129,14555,5791,131,91,484
2,Greater Mumbai,Mumbai(W),325314,207994,14869,298860,17286,864,8508,20806,66095,0,2775,2354,389,709,6,5477,116,8111,23310,41,0,0
3,Greater Mumbai,Mumbai€,288909,124333,11373,157470,5285,831,7531,14251,60214,0,690,715,349,324,0,769,113,5632,8771,32,22,869
4,Greater Mumbai,Borivali,189862,88671,235,144336,161,0,1600,6598,12756,1,76,335,19,34,91,0,0,2178,0,19,0,3
5,Thane Region,Thane,800422,275052,13975,407504,45418,5469,4299,37064,94841,1341,12359,1193,1728,1709,10653,77188,12736,70518,57571,1594,8695,3067
6,Thane Region,Kalyan,532054,73704,7749,107682,4099,129,956,5985,45531,2023,963,478,234,466,374,10376,1175,8561,16777,944,411,778
7,Thane Region,Vashi Navi Mumbai,178111,11253,5,108463,4075,570,2848,10415,18139,269,3691,862,365,311,4655,16946,5028,4991,18117,68,3560,245
8,Thane Region,Vasai,195300,46684,709,50667,208,75,570,3786,10228,875,1033,195,890,259,1369,3652,160,13603,2179,193,72,553
9,Panvel Region,Panvel,174015,10970,5,93242,465,0,1079,7650,15098,87,420,1170,275,294,24087,24446,2520,8766,3099,408,84,1839
10,Panvel Region,Pen-Raigad,209809,32387,1414,39429,12648,251,63,6638,10610,1097,427,475,241,294,890,7981,960,10282,3840,1444,2327,2959
11,Panvel Region,Ratnagiri,149089,59676,8147,32050,10535,508,68,587,13032,45,582,179,114,353,92,8174,201,10906,6809,741,607,7100
12,Panvel Region,Sindhudurg,99554,41746,4853,15193,3318,725,315,92,10245,1915,154,59,59,123,4,4648,44,5779,1758,593,394,261
13,Kolhapur Region,Kolhapur,808271,129361,54997,103718,20746,67,400,950,15902,914,1374,562,251,358,866,18689,1013,19573,12367,40029,32582,2900
14,Kolhapur Region,Sangli,438311,84679,51635,63734,22199,352,501,1573,9154,870,79,505,79,195,172,9702,825,16550,7360,28715,18588,1196
15,Kolhapur Region,Satara,422950,67533,58514,52038,17577,74,926,3266,7414,842,277,482,70,216,2,8301,302,14670,6668,26066,18670,1279
16,Kolhapur Region,Karad,102115,4797,4387,17239,2049,0,462,1467,1972,0,78,232,20,155,0,3831,82,5015,1362,6684,6272,320
17,Pune Region,Pune,1776720,523701,195718,546354,41850,876,270,22423,49941,2540,11260,2299,1282,1195,7032,34689,3221,42700,32362,24296,12759,7290
