S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai(C),287441,192404,7596,298611,9630,2173,34827,11816,0,4450,1707,162,405,612,11,2042,129,13796,5733,130,85,377
2,Greater Mumbai,Mumbai(W),310770,194271,14839,284942,17281,864,8245,14229,60011,0,2754,2327,360,684,0,5413,116,7450,23000,41,0,0
3,Greater Mumbai,Mumbai€,260299,115118,11297,147285,5263,831,7188,8230,52041,0,669,669,319,300,0,716,110,4913,8265,32,11,869
4,Greater Mumbai,Borivali,166158,67944,183,126870,136,0,324,2954,7193,0,71,165,19,24,0,0,0,1452,0,0,0,0
5,Thane Region,Thane,747307,250233,13747,390984,43025,5469,2392,31879,91012,1050,10520,1107,1725,1625,10561,73155,12195,66652,57139,1530,8494,2938
6,Thane Region,Kalyan,463940,73704,7749,95564,4099,129,645,4266,39906,2023,903,364,230,446,211,9906,1164,8277,15209,889,403,718
7,Thane Region,Vashi Navi Mumbai,155576,11253,5,98120,4073,570,288,9771,16195,160,3533,826,352,297,4627,15945,4772,4594,17150,31,3282,200
8,Thane Region,Vasai,143754,39925,668,40901,202,72,12,2131,7868,769,724,173,79,204,663,2077,138,11255,1837,106,39,474
9,Panvel Region,Panvel,144124,7702,5,81767,463,0,56,4002,13390,74,293,927,193,250,20962,20867,2504,7409,2839,296,77,1261
10,Panvel Region,Pen-Raigad,194272,29243,1389,36656,12423,191,0,6370,10146,1043,321,424,235,282,844,7718,928,9691,3671,1406,2322,2712
11,Panvel Region,Ratnagiri,134127,58485,7763,30176,10000,508,38,555,12465,45,530,149,103,334,90,7951,191,10433,6380,679,596,7025
12,Panvel Region,Sindhudurg,88534,38499,4821,13894,3020,725,285,84,9865,1911,129,49,58,113,4,4438,38,5428,1689,523,389,121
13,Kolhapur Region,Kolhapur,758559,109023,53835,93082,20743,67,400,843,15459,914,1264,485,228,334,861,18321,1001,18266,12171,38622,31080,2690
14,Kolhapur Region,Sangli,420795,76999,51634,59977,21099,352,501,1409,8948,870,74,460,79,192,172,9316,809,15471,7160,27216,18421,1163
15,Kolhapur Region,Satara,400371,58868,53793,47630,16895,74,926,2836,7181,836,210,431,69,210,0,7575,294,13400,6416,24668,18133,1165
16,Kolhapur Region,Karad,89918,4777,4387,15755,1999,0,403,1342,1902,0,63,199,18,147,0,3604,82,4645,1292,6406,6063,312
17,Pune Region,Pune,1667451,454907,195312,496811,41840,876,270,9806,45004,2540,6339,2186,1272,1167,3994,27501,3184,38626,30493,23047,12569,6808
18,Pune Region,Solapur,444099,74686,72605,34148,15602,192,0,1551,8593,292,95,291,118,243,22,9596,850,11821,9712,22789,14619,589
19,Pune Region,Pimpri-Chinchwad,845067,185043,37591,212188,15614,60,0,20685,5688,3697,6030,313,589,1563,9,16023,1448,28760,24740,16498,4109,3586
20,Pune Region,Baramati,219950,6345,650,26663,4658,8,0,558,1523,0,189,292,92,113,110,6451,542,10759,5759,16878,16005,828
21,Pune Region,Akluj,170152,430,110,22272,2969,13,0,268,370,63,70,149,9,67,45,2413,110,5904,3107,12605,6843,898
22,Nashik Region,Nashik,762183,199147,53591,140897,26433,94,2100,3294,21496,950,1383,761,203,618,37,12385,836,28759,11928,64314,28122,5761
23,Nashik Region,Ahmednagar,358089,70639,42280,35324,12842,254,873,1107,5977,761,115,386,84,239,107,7719,522,13408,7384,24383,13170,2398
24,Nashik Region,Srirampur,448336,26801,29540,36373,12664,792,1350,1840,5259,0,211,509,72,175,251,6140,713,11031,11027,30605,19323,1362
25,Nashik Region,Malegaon,242982,9561,10002,19720,2440,2,1096,324,8644,0,52,190,12,99,9,4865,127,7166,3690,24015,18330,293
26,Dhule Region,Dhule,211074,33436,28776,21848,5668,401,149,2873,12700,673,316,175,94,155,1159,9765,785,4738,7481,17645,14424,395
27,Dhule Region,Jalgaon,460297,82004,63286,34581,11452,548,2956,505,29959,0,427,373,91,226,0,8083,314,6970,14647,31543,22095,1429
28,Dhule Region,Nandurbar,90171,18340,3928,12609,4302,1533,44,404,830,0,80,37,23,70,0,701,72,1249,3740,9585,4973,285
29,Aurangabad Region,Aurangabad,735794,84168,46939,55123,29314,452,21,2596,26529,5614,1375,1008,1989,490,0,13119,4712,24888,29960,23285,14689,379
30,Aurangabad Region,Jalna,200211,12172,12279,9916,6188,128,596,140,6437,242,27,212,7,117,5,2991,261,3306,6436,13642,7169,476
31,Aurangabad Region,Beed,137379,13814,18493,8158,16244,1,0,138,8070,440,201,41,30,17,23,4193,166,5337,9452,8777,5553,29
32,Latur Region,Latur,211258,27829,39031,27234,13067,129,363,968,11819,10,575,454,62,89,33,7562,205,9872,7337,12242,6823,440
33,Latur Region,Osmanabad,127228,11187,4941,10459,5711,54,0,1241,4763,307,22,178,7,64,0,5184,175,5669,3201,12095,5265,436
34,Latur Region,Ambejogai,69812,4477,3524,5246,3231,0,54,321,3185,0,14,105,4,24,206,2483,215,2196,3269,4243,2134,136
35,Nanded Region,Nanded,305814,16925,29160,21066,9334,58,0,1984,24996,433,429,361,57,170,2,14768,358,8302,9345,6919,4725,225
36,Nanded Region,Parbhani,173780,5554,12183,12373,9596,18,313,215,13256,0,123,75,8,138,25,5181,218,3382,6761,8349,3586,348
37,Nanded Region,Hingoli,85075,4841,6681,5694,3940,0,150,1143,3880,96,139,32,24,53,0,1735,70,2767,1045,6824,3582,51
38,Amrawati Region,Amrawati,334125,80049,77503,37565,5615,363,44,1559,16109,536,408,382,139,301,8,8294,238,7787,4239,14336,8788,536
39,Amrawati Region,Buldhana,212175,22868,28439,11362,6195,186,158,1660,14551,442,99,300,54,170,0,3034,60,5071,4857,19716,10832,178
40,Amrawati Region,Yawatmal,198747,48910,51705,16454,6107,41,36,1445,13430,395,375,279,103,111,330,4906,119,5912,3342,9510,6284,42
41,Amrawati Region,Akola,182821,69685,32703,20382,4342,8,48,1963,13802,463,223,173,42,165,6,4823,155,5622,2849,10742,7064,440
42,Amrawati Region,Washim,100437,20255,17398,5519,3601,2,4,512,7890,1,59,67,3,66,2,1391,38,2752,1343,10095,6376,53
43,Nagpur(U) Region,Nagpur,462770,327913,282745,108810,31185,842,9,3503,8437,1739,927,902,1317,630,936,12130,2556,15214,7244,5459,5403,1249
44,Nagpur(U) Region,Wardha,122058,17197,43446,10204,3450,62,0,340,4850,240,120,302,44,73,169,1636,40,3530,2998,7420,3102,452
